class,filename,loc,methods,lcom,tcc,cbo,changes,lines_added,lines_deleted,nlc,authors,fan_in,fan_out
FasterRcnnBoxCoder,cartoonify/app/object_detection/box_coders/faster_rcnn_box_coder.py,5,4,0,1.0,28,2,80,0,40.0,1,0,0
SquareBoxCoder,cartoonify/app/object_detection/box_coders/square_box_coder.py,5,4,0,1.0,31,2,84,0,42.0,1,0,0
FasterRcnnBoxCoderTest,cartoonify/app/object_detection/box_coders/faster_rcnn_box_coder_test.py,5,5,0,1.0,14,2,69,0,34.5,1,0,0
SquareBoxCoderTest,cartoonify/app/object_detection/box_coders/square_box_coder_test.py,5,5,0,1.0,14,2,72,0,36.0,1,0,0
MeanStddevBoxCoder,cartoonify/app/object_detection/box_coders/mean_stddev_box_coder.py,4,3,0,1.0,11,2,46,0,23.0,1,0,0
KeypointBoxCoderTest,cartoonify/app/object_detection/box_coders/keypoint_box_coder_test.py,5,5,0,1.0,20,2,114,0,57.0,1,0,0
MeanStddevBoxCoderTest,cartoonify/app/object_detection/box_coders/mean_stddev_box_coder_test.py,2,2,0,1.0,18,2,33,0,16.5,1,0,0
FakeSSDFeatureExtractor,cartoonify/app/object_detection/meta_architectures/ssd_meta_arch_test.py,3,3,0,1.0,8,2,21,0,10.5,1,0,0
MockAnchorGenerator2x2,cartoonify/app/object_detection/meta_architectures/ssd_meta_arch_test.py,4,3,0,1.0,3,2,17,0,8.5,1,0,0
SsdMetaArchTest,cartoonify/app/object_detection/meta_architectures/ssd_meta_arch_test.py,7,7,0,1.0,68,2,227,0,113.5,1,0,0
SSDFeatureExtractor,cartoonify/app/object_detection/meta_architectures/ssd_meta_arch.py,4,3,0,1.0,10,2,66,0,33.0,1,0,0
SSDMetaArch,cartoonify/app/object_detection/meta_architectures/ssd_meta_arch.py,15,14,17,0.345,126,2,599,0,299.5,1,0,0
RFCNMetaArchTest,cartoonify/app/object_detection/meta_architectures/rfcn_meta_arch_test.py,3,3,0,1.0,8,2,40,0,20.0,1,0,0
FasterRCNNFeatureExtractor,cartoonify/app/object_detection/meta_architectures/faster_rcnn_meta_arch.py,8,7,3,0.0,18,2,103,0,51.5,1,0,0
FasterRCNNMetaArch,cartoonify/app/object_detection/meta_architectures/faster_rcnn_meta_arch.py,28,27,108,0.243,205,2,1489,0,744.5,1,0,0
FakeFasterRCNNFeatureExtractor,cartoonify/app/object_detection/meta_architectures/faster_rcnn_meta_arch_test_lib.py,5,4,0,1.0,8,2,25,0,12.5,1,0,0
FasterRCNNMetaArchTestBase,cartoonify/app/object_detection/meta_architectures/faster_rcnn_meta_arch_test_lib.py,22,21,0,0.784,147,2,1197,0,598.5,1,0,0
FasterRCNNMetaArchTest,cartoonify/app/object_detection/meta_architectures/faster_rcnn_meta_arch_test.py,2,2,0,1.0,23,2,71,0,35.5,1,0,0
RFCNMetaArch,cartoonify/app/object_detection/meta_architectures/rfcn_meta_arch.py,3,2,0,1.0,47,2,236,0,118.0,1,0,0
ArgMaxMatcher,cartoonify/app/object_detection/matchers/argmax_matcher.py,4,3,0,1.0,25,2,155,0,77.5,1,0,0
GreedyBipartiteMatcher,cartoonify/app/object_detection/matchers/bipartite_matcher.py,2,1,0,1.0,8,2,30,0,15.0,1,0,0
ArgMaxMatcherTest,cartoonify/app/object_detection/matchers/argmax_matcher_test.py,12,12,0,0.564,32,2,212,0,106.0,1,0,0
GreedyBipartiteMatcherTest,cartoonify/app/object_detection/matchers/bipartite_matcher_test.py,4,4,0,1.0,10,2,47,0,23.5,1,0,0
SSDInceptionV3FeatureExtractor,cartoonify/app/object_detection/models/ssd_inception_v3_feature_extractor.py,4,3,0,1.0,23,2,85,0,42.5,1,0,0
SsdMobilenetV1FeatureExtractorTest,cartoonify/app/object_detection/models/ssd_mobilenet_v1_feature_extractor_test.py,9,9,14,0.25,24,2,112,0,56.0,1,0,0
SsdFeatureExtractorTestBase,cartoonify/app/object_detection/models/ssd_feature_extractor_test.py,5,5,0,0.667,27,2,71,0,35.5,1,0,0
SSDMobileNetV1FeatureExtractor,cartoonify/app/object_detection/models/ssd_mobilenet_v1_feature_extractor.py,4,3,0,1.0,23,2,87,0,43.5,1,0,0
FasterRCNNResnetV1FeatureExtractor,cartoonify/app/object_detection/models/faster_rcnn_resnet_v1_feature_extractor.py,5,4,0,1.0,28,2,132,0,66.0,1,0,0
FasterRCNNResnet50FeatureExtractor,cartoonify/app/object_detection/models/faster_rcnn_resnet_v1_feature_extractor.py,2,1,0,1.0,9,2,28,0,14.0,1,0,0
FasterRCNNResnet101FeatureExtractor,cartoonify/app/object_detection/models/faster_rcnn_resnet_v1_feature_extractor.py,2,1,0,1.0,9,2,28,0,14.0,1,0,0
FasterRCNNResnet152FeatureExtractor,cartoonify/app/object_detection/models/faster_rcnn_resnet_v1_feature_extractor.py,2,1,0,1.0,9,2,26,0,13.0,1,0,0
